image_name,timestamp,cam_x,cam_y,cam_z,heading,pitch,roll
Image_D2_M12_000208.jpeg,1746800551,234756.598,2016500.232,2279.128,125.627,-79.472,-19.868
Image_D2_M12_000209.jpeg,1746800553,234764.788,2016494.474,2278.466,126.19,-81.41,9.477
Image_D2_M12_000210.jpeg,1746800554,234773.868,2016490.031,2277.644,145.038,-81.533,28.462
Image_D2_M12_000211.jpeg,1746800556,234783.169,2016485.758,2276.756,153.111,-83.777,38.285
Image_D2_M12_000212.jpeg,1746800561,234789.496,2016478.399,2276.06,-176.441,-85.572,4.251
Image_D2_M12_000213.jpeg,1746800564,234786.818,2016468.588,2275.576,-135.14,-86.397,4.02
Image_D2_M12_000214.jpeg,1746800567,234777.567,2016465.099,2275.535,-84.863,-88.816,-3.955
Image_D2_M12_000215.jpeg,1746800569,234767.085,2016467.56,2275.647,-71.153,-87.743,3.41
Image_D2_M12_000216.jpeg,1746800571,234757.177,2016470.199,2275.978,-67.108,-88.305,8.505
Image_D2_M12_000217.jpeg,1746800574,234746.788,2016473.051,2276.266,-105.226,-88.118,-27.96
Image_D2_M12_000218.jpeg,1746800576,234736.418,2016474.569,2276.172,-152.047,-87.031,-66.039
Image_D2_M12_000219.jpeg,1746800578,234726.28,2016475.176,2275.773,-160.595,-86.103,-75.922
Image_D2_M12_000220.jpeg,1746800580,234715.32,2016476.394,2275.223,-157.249,-85.254,-76.451
Image_D2_M12_000221.jpeg,1746800583,234705.525,2016479.21,2274.797,-129.192,-86.259,-69.01
Image_D2_M12_000222.jpeg,1746800585,234698.925,2016486.997,2274.697,-73.622,-84.729,-59.19
Image_D2_M12_000223.jpeg,1746800587,234697.839,2016498.019,2275.211,-63.348,-84.638,-65.155
Image_D2_M12_000224.jpeg,1746800589,234697.632,2016509.153,2275.82,-75.42,-82.755,-71.449
Image_D2_M12_000225.jpeg,1746800591,234696.13,2016519.97,2276.185,-86.493,-82.505,-76.801
Image_D2_M12_000226.jpeg,1746800592,234694.03,2016530.367,2276.335,-93.204,-85.32,-80.483
Image_D2_M12_000227.jpeg,1746800593,234691.472,2016541.098,2276.488,-72.961,-86.698,-59.735
Image_D2_M12_000228.jpeg,1746800595,234688.962,2016552.1,2276.864,-53.575,-87.44,-42.368
Image_D2_M12_000229.jpeg,1746800596,234686.9,2016562.756,2277.381,-46.874,-86.678,-37.549
Image_D2_M12_000230.jpeg,1746800598,234685.259,2016573.351,2277.926,-78.267,-87.088,-72.353
Image_D2_M12_000231.jpeg,1746800600,234684.627,2016583.667,2278.175,-90.357,-84.389,-96.446
Image_D2_M12_000232.jpeg,1746800605,234688.383,2016592.663,2278.697,-36.13,-80.573,-90.618
Image_D2_M12_000233.jpeg,1746800607,234698.754,2016595.264,2280.599,-5.833,-77.449,-98.128
Image_D2_M12_000234.jpeg,1746800608,234709.691,2016594.977,2282.954,-11.403,-81.32,-102.755
Image_D2_M12_000235.jpeg,1746800610,234720.087,2016594.837,2284.223,-6.366,-86.894,-97.48
Image_D2_M12_000236.jpeg,1746800612,234730.4,2016593.87,2284.713,77.71,-88.68,-25.618
Image_D2_M12_000237.jpeg,1746800615,234740.689,2016592.347,2284.986,-58.35,-88.484,-135.578
Image_D2_M12_000238.jpeg,1746800618,234748.38,2016598.527,2284.709,-179.341,-82.232,148.649
Image_D2_M12_000239.jpeg,1746800621,234753.469,2016607.328,2283.223,-167.32,-76.065,162.256
Image_D2_M12_000240.jpeg,1746800623,234758.538,2016616.202,2280.729,-173.177,-74.664,157.718
Image_D2_M12_000241.jpeg,1746800625,234763.383,2016625.062,2278.5,-165.884,-78.272,164.959
Image_D2_M12_000242.jpeg,1746800627,234768.297,2016634.005,2276.665,-166.404,-76.582,164.96
Image_D2_M12_000243.jpeg,1746800630,234773.196,2016643.034,2274.756,-164.991,-83.286,166.546
Image_D2_M12_000244.jpeg,1746800631,234777.942,2016651.802,2273.994,-161.172,-86.714,169.768
Image_D2_M12_000245.jpeg,1746800633,234783.127,2016661.055,2273.663,-172.556,-88.06,157.397
Image_D2_M12_000246.jpeg,1746800634,234788.482,2016670.391,2273.572,-140.913,-88.723,-171.688
Image_D2_M12_000247.jpeg,1746800635,234793.823,2016679.569,2273.524,-145.683,-88.601,-176.108
Image_D2_M12_000248.jpeg,1746800637,234799.481,2016689.414,2273.494,-146.412,-88.713,-176.306
Image_D2_M12_000249.jpeg,1746800639,234804.149,2016698.301,2273.524,-101.39,-87.068,-127.475
Image_D2_M12_000250.jpeg,1746800641,234808.759,2016707.468,2273.597,-80.285,-84.736,-121.384
Image_D2_M12_000251.jpeg,1746800644,234817.704,2016710.608,2274.414,-3.457,-80.646,-112.065
Image_D2_M12_000252.jpeg,1746800646,234827.273,2016705.973,2276.157,22.663,-80.525,-95.347
Image_D2_M12_000253.jpeg,1746800648,234836.21,2016701.274,2277.576,34.597,-86.683,-82.716
Image_D2_M12_000254.jpeg,1746800650,234845.296,2016696.917,2277.692,159.657,-83.257,44.668
Image_D2_M12_000255.jpeg,1746800654,234854.77,2016692.933,2276.657,-158.027,-83.849,88.273
Image_D2_M12_000256.jpeg,1746800657,234864.006,2016688.246,2275.766,-159.256,-83.781,82.36
